test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
10,31,True,False,0.7000000022780533,1.000000003254362,1.0,0.7,0.7000000022780533,4.926191821519751,4.106260820582975,9.032452642102726,9.032452583312988,6.508723625210414e-09,9384.0,9384.0,0.0,0,0,0,0,0,0,0,0,27,0.0,0.43736886978149414,1.4996767044067383,0.2916421042590738
11,32,True,False,0.7000000024986283,1.000000003569469,1.0,0.7,0.7000000024986283,8.350373328023124,0.019241815287387,8.369615143310511,8.369615083560348,7.13893809107613e-09,9682.0,9682.0,0.0,0,0,0,0,0,0,0,0,31,0.0,0.3789830207824707,1.4996767044067383,0.25270981383443825
12,33,True,False,0.7343782978379997,1.0000000021878273,1.0,0.7343782962313068,0.7343782978379997,6.839460068673361,6.183802489074878,13.02326255774824,13.02326250076294,4.375654720232064e-09,10010.0,10010.0,0.0,0,0,0,0,0,0,0,0,27,0.0,0.5358753204345703,1.4996767044067383,0.3573272285019316
13,34,True,False,0.7141467610302911,1.000000002689429,1.0,0.7141467591096441,0.7141467610302911,12.196725992544089,2.2067777413176373,14.403503733861726,14.403503656387329,5.378857708795636e-09,9600.0,9600.0,0.0,0,0,0,0,0,0,0,0,33,0.0,0.48822784423828125,1.4996767044067383,0.32555539657557114
14,35,True,False,0.773994085682507,1.0000000144789998,1.0,0.773994074475847,0.773994085682507,18.892016000580043,0.5715106331626885,19.46352663374273,19.46352607011795,2.895799962425253e-08,8262.0,8262.0,0.0,0,0,0,0,0,0,0,0,32,0.0,0.6384444236755371,1.4996767044067383,0.42572137167930557
15,36,True,False,0.7609923507295113,1.000000006231213,1.0,0.7609923459876059,0.7609923507295113,24.286329583759652,0.6806433168821968,24.96697290064185,24.966972589492798,1.2462426123056877e-08,10812.0,10812.0,0.0,0,0,0,0,0,0,0,0,36,0.0,0.6033906936645508,1.4996767044067383,0.4023471804899763
16,37,True,False,0.7673639310148616,1.0,1.0,0.7673639310148616,0.7673639310148616,25.35496834796504,0.4730040265421849,25.827972374507226,25.827973037958145,-2.5687301055977533e-08,11543.0,11543.0,0.0,0,0,0,0,0,0,0,0,40,0.0,0.6203958988189697,1.4996767044067383,0.41368642787873006
17,38,True,False,0.7408065537336125,1.0,1.0,0.7408065537336125,0.7408065537336125,10.091039611550514,0.7685238464036956,10.85956345795421,10.85956346988678,-1.0988075644430325e-09,15872.0,15872.0,0.0,0,0,0,0,0,0,0,0,37,0.0,0.5516712665557861,1.4996767044067383,0.3678601294097073
18,39,True,False,0.7714156785378173,1.0,1.0,0.7714156785378173,0.7714156785378173,8.537909217062406,0.8383113257295918,9.376220542791998,9.37622082233429,-2.981396202519607e-08,11500.0,11500.0,0.0,0,0,0,0,0,0,0,0,34,0.0,0.6313824653625488,1.4996767044067383,0.4210123845407863
19,40,True,False,0.7211126620029682,1.0000000138548761,1.0,0.7211126520120418,0.7211126620029682,17.333141793700634,0.6387133910320699,17.971855184732703,17.97185468673706,2.770975236699878e-08,12650.0,12650.0,0.0,0,0,0,0,0,0,0,0,38,0.0,0.5042834281921387,1.4996767044067383,0.3362614266863802
20,41,True,False,0.7946989375452862,1.000000007640322,1.0,0.7946989314735305,0.7946989375452862,9.081275096599711,7.713670400058618,16.79494549665833,16.794945240020752,1.5280643866342292e-08,11830.0,11830.0,0.0,0,0,0,0,0,0,0,0,38,0.0,0.697171688079834,1.4996767044067383,0.4648813214416305
21,42,True,False,0.8228812576979245,1.0000000065516952,1.0,0.8228812523066574,0.8228812576979245,12.244974089611787,6.414417081250576,18.659391170862364,18.659390926361084,1.3103390171305125e-08,13184.0,13184.0,0.0,0,0,0,0,0,0,0,0,41,0.0,0.7830476760864258,1.4996767044067383,0.5221443220298564
22,43,True,False,0.7540892469705489,1.0,1.0,0.7540892469705489,0.7540892469705489,23.147328996041324,0.9060884661448654,24.05341746218619,24.053417801856995,-1.412151936405127e-08,13802.0,13802.0,0.0,0,0,0,0,0,0,0,0,43,0.0,0.5853381156921387,1.4996767044067383,0.3903095340296657
23,44,True,False,0.9071500428297863,1.0,1.0,0.9071500428297863,0.9071500428297863,86.62578950481839,5.690120690880576,92.31591019569896,92.31591415405273,-4.28783466971243e-08,11532.0,11532.0,0.0,0,0,0,0,0,0,0,0,36,0.0,1.083747386932373,1.4996767044067383,0.7226540118599069
24,45,True,False,0.803447820008038,1.0000000137503418,1.0,0.8034478089603561,0.803447820008038,19.699885013193125,4.683228087931639,24.383113101124763,24.38311243057251,2.750068333697956e-08,13482.0,13482.0,0.0,0,0,0,0,0,0,0,0,33,0.0,0.723085880279541,1.4996767044067383,0.48216117390820495
25,46,True,False,0.7935923127806747,1.0000000104988969,1.0,0.7935923044488309,0.7935923127806747,43.98219394587795,1.5465250048146117,45.528718950692564,45.52871799468994,2.0997793589406322e-08,12864.0,12864.0,0.0,0,0,0,0,0,0,0,0,40,0.0,0.6939408779144287,1.4996767044067383,0.4627269836727556
26,47,True,False,0.7968006746702369,1.0,1.0,0.7968006746702369,0.7968006746702369,25.50804126242292,1.2423894467647187,26.75043070918764,26.750430822372437,-4.2311392066095806e-09,18088.0,18088.0,0.0,0,0,0,0,0,0,0,0,42,0.0,0.7033367156982422,1.4996767044067383,0.4689922258787619
27,48,True,False,0.8315620327877647,1.000000013832908,1.0,0.8315620212848439,0.8315620327877647,28.04451447626343,1.0258472269633785,29.07036170322681,29.070360898971558,2.766581583339861e-08,15875.0,15875.0,0.0,0,0,0,0,0,0,0,0,46,0.0,0.8109233379364014,1.4996767044067383,0.5407321028282539
28,49,True,False,0.8908888199026348,1.0000000065155927,1.0,0.8908888140979662,0.8908888199026348,12.588742069521686,8.47444008209277,21.063182151614456,21.06318187713623,1.3031185251996403e-08,15544.0,15544.0,0.0,0,0,0,0,0,0,0,0,41,0.0,1.0203347206115723,1.4996767044067383,0.6803697874437609
29,50,True,False,0.7985290610568423,1.000000014257495,1.0,0.7985290496718184,0.7985290610568423,17.81906941474881,1.1344055281369947,18.953474942885805,18.953474402427673,2.8514989922497787e-08,19710.0,19710.0,0.0,0,0,0,0,0,0,0,0,43,0.0,0.70843505859375,1.4996767044067383,0.47239185386559834
30,51,True,False,0.9151481655962582,1.0000000034629357,1.0,0.915148162427159,0.9151481655962582,59.736645359080285,9.410396440624027,69.14704179970431,69.14704132080078,6.925871606620565e-09,18288.0,18288.0,0.0,0,0,0,0,0,0,0,0,43,0.0,1.115926742553711,1.4996767044067383,0.7441115403570691
31,52,True,False,0.9009867090117831,1.0,1.0,0.9009867090117831,0.9009867090117831,57.24698428984266,13.1033890194376,70.35037330928026,70.35037517547607,-2.6527162248840838e-08,17272.0,17272.0,0.0,0,0,0,0,0,0,0,0,49,0.0,1.0593974590301514,1.4996767044067383,0.7064172270711118
32,53,True,False,0.7727321067971858,1.0,1.0,0.7727321067971858,0.7727321067971858,35.4956919994147,0.09592188516398892,35.59161388457869,35.591615088284016,-3.3819912945065615e-08,16200.0,16200.0,0.0,0,0,0,0,0,0,0,0,47,0.0,0.6349811553955078,1.4996767044067383,0.4234120284256212
33,54,True,False,0.811788153894146,1.000000014819448,1.0,0.811788141863894,0.811788153894146,34.78805270983139,1.9652498807699885,36.75330259060138,36.75330150127411,2.9638895709201054e-08,17920.0,17920.0,0.0,0,0,0,0,0,0,0,0,45,0.0,0.748410701751709,1.4996767044067383,0.4990480278532933
34,55,True,False,0.8615533287335342,1.0000000051913929,1.0,0.8615533242608724,0.8615533287335342,24.03331405550125,2.528719158290187,26.562033213791437,26.56203293800354,1.0382785762358798e-08,16416.0,16416.0,0.0,0,0,0,0,0,0,0,0,50,0.0,0.912581205368042,1.4996767044067383,0.6085186245051748
35,56,True,False,0.9132416012718038,1.000000010624101,1.0,0.913241591569433,0.9132416012718038,19.847214174980763,1.8256749221181963,21.67288909709896,21.67288863658905,2.124820170669109e-08,17250.0,17250.0,0.0,0,0,0,0,0,0,0,0,47,0.0,1.1081960201263428,1.4996767044067383,0.7389566143622518
36,57,True,False,0.8710609648538148,1.0000000027950662,1.0,0.8710609624191418,0.8710609648538148,38.51407219879911,10.346927181701176,48.86099938050029,48.86099910736084,5.59013229009674e-09,19468.0,19468.0,0.0,0,0,0,0,0,0,0,0,46,0.0,0.9465847015380859,1.4996767044067383,0.6311925088631342
37,58,True,False,0.9275807512541719,1.0000000066605177,1.0,0.927580745076004,0.9275807512541719,43.796093909099,11.392016223951941,55.18811013305094,55.188109397888184,1.3321035370804439e-08,16758.0,16758.0,0.0,0,0,0,0,0,0,0,0,47,0.0,1.167266607284546,1.4996767044067383,0.7783454953021415
38,59,True,False,0.8853754427104055,1.0000000046258317,1.0,0.8853754386148077,0.8853754427104055,74.06260743952589,2.641298137285048,76.70390557681094,76.70390486717224,9.251663253069262e-09,17760.0,17760.0,0.0,0,0,0,0,0,0,0,0,55,0.0,0.9994380474090576,1.4996767044067383,0.6664356687493045
39,60,True,False,0.9440284794416935,1.0,1.0,0.9440284794416935,0.9440284794416935,92.16972963622538,2.7303274318983313,94.90005706812371,94.90005850791931,-1.517170399220485e-08,17584.0,17584.0,0.0,0,0,0,0,0,0,0,0,44,0.0,1.2376978397369385,1.4996767044067383,0.8253097724996423
40,61,True,False,0.9531905624776842,1.0,1.0,0.9531905624776842,0.9531905624776842,27.71711648305063,15.799253498582402,43.516369981633034,43.51637077331543,-1.8192748660224577e-08,19388.0,19388.0,0.0,0,0,0,0,0,0,0,0,49,0.0,1.2781939506530762,1.4996767044067383,0.852312999793326
41,62,True,False,0.9185153564540813,1.0,1.0,0.9185153564540813,0.9185153564540813,48.907237020670436,3.226019569003256,52.13325658967369,52.13325762748718,-1.990693728890407e-08,21504.0,21504.0,0.0,0,0,0,0,0,0,0,0,51,0.0,1.1296720504760742,1.4996767044067383,0.7532770544188486
