test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
0,21,True,False,0.7,1.0,1.0,0.7,0.7,3.2578977398516145,0.966111442190595,4.224009182042209,4.224009275436401,-2.211031885719746e-08,6955.0,6955.0,0.0,0,0,0,0,0,0,0,0,26,0.0,0.22785472869873047,1.4804472923278809,0.15390938257615897
1,22,True,False,0.7,1.0,1.0,0.7,0.7,2.219988502562046,1.9830557396926451,4.203044242254691,4.203044295310974,-1.2623298541444476e-08,9639.0,9639.0,0.0,0,0,0,0,0,0,0,0,29,0.0,0.2883427143096924,1.4804472923278809,0.19476729486012118
2,23,True,False,0.7,1.0,1.0,0.7,0.7,4.949167136044707,2.3704767668969,7.319643902941607,7.319643974304199,-9.749462204778166e-09,9078.0,9078.0,0.0,0,0,0,0,0,0,0,0,29,0.0,0.37584877014160156,1.4804472923278809,0.2538751444170704
3,24,True,False,0.7000000085162846,1.000000012166121,1.0,0.7,0.7000000085162846,2.6950028596329503,0.011774842190789059,2.7067777018237393,2.706777635961771,2.433224194280234e-08,8378.0,8378.0,0.0,0,0,0,0,0,0,0,0,28,0.0,0.17305421829223633,1.4804472923278809,0.11689319787948876
4,25,True,False,0.7,1.0,1.0,0.7,0.7,9.029580665868707,1.2504308024072088,10.280011468275916,10.280011892318726,-4.1249252840987165e-08,7303.0,7303.0,0.0,0,0,0,0,0,0,0,0,32,0.0,0.43489861488342285,1.4804472923278809,0.29376163348549933
5,26,True,False,0.7,1.0,1.0,0.7,0.7,5.5605973227648064,2.57897763105575,8.139574953820556,8.139575004577637,-6.235839130175491e-09,8100.0,8100.0,0.0,0,0,0,0,0,0,0,0,27,0.0,0.4418611526489258,1.4804472923278809,0.29846462953377806
6,27,True,False,0.7000000107836504,1.0000000154052149,1.0,0.7,0.7000000107836504,9.512923549045809,0.2817346387600992,9.794658187805908,9.79465788602829,3.081042967680843e-08,6675.0,6675.0,0.0,0,0,0,0,0,0,0,0,31,0.0,0.3296024799346924,1.4804472923278809,0.22263709194024717
7,28,True,False,0.73110527406525,1.0000000247072045,1.0,0.731105256001683,0.73110527406525,33.4491669969575,0.016369902557926252,33.46553689951543,33.46553524583578,4.941440901523849e-08,10400.0,10400.0,0.0,0,0,0,0,0,0,0,0,36,0.0,0.5211858749389648,1.4804472923278809,0.35204622119267964
8,29,True,False,0.7247669102021757,1.000000014731116,1.0,0.7247668995255503,0.7247669102021757,13.486789164599031,0.43279724832973443,13.919586412928766,13.91958600282669,2.9462232201629705e-08,8736.0,8736.0,0.0,0,0,0,0,0,0,0,0,33,0.0,0.5062761306762695,1.4804472923278809,0.34197511339981057
9,30,True,False,0.7000000010391416,1.000000001484488,1.0,0.7,0.7000000010391416,17.388856948469765,0.4715680701774545,17.86042501864722,17.86042496562004,2.968976337026812e-09,9880.0,9880.0,0.0,0,0,0,0,0,0,0,0,32,0.0,0.38412046432495117,1.4804472923278809,0.25946243835601435
10,31,True,False,0.7000000022780533,1.000000003254362,1.0,0.7,0.7000000022780533,4.926191821519751,4.106260820582975,9.032452642102726,9.032452583312988,6.508723625210414e-09,9384.0,9384.0,0.0,0,0,0,0,0,0,0,0,27,0.0,0.3351314067840576,1.4804472923278809,0.22637172462728558
11,32,True,False,0.7000000024986283,1.000000003569469,1.0,0.7,0.7000000024986283,8.350373328023124,0.019241815287387,8.369615143310511,8.369615083560348,7.13893809107613e-09,9682.0,9682.0,0.0,0,0,0,0,0,0,0,0,31,0.0,0.37566447257995605,1.4804472923278809,0.25375065666083574
12,33,True,False,0.7577777955429618,1.0000000021878273,1.0,0.7577777938850748,0.7577777955429618,6.839460068673361,6.183802489074878,13.02326255774824,13.02326250076294,4.375654720232064e-09,10010.0,10010.0,0.0,0,0,0,0,0,0,0,0,27,0.0,0.5873079299926758,1.4804472923278809,0.3967097869922695
13,34,True,False,0.7356329414725532,1.000000002689429,1.0,0.7356329394941207,0.7356329414725532,12.196725992544089,2.2067777413176373,14.403503733861726,14.403503656387329,5.378857708795636e-09,9600.0,9600.0,0.0,0,0,0,0,0,0,0,0,33,0.0,0.5320227146148682,1.4804472923278809,0.3593661978862527
14,35,True,False,0.7670160794167286,1.0000000144789998,1.0,0.767016068311103,0.7670160794167286,18.892016000580043,0.5715106331626885,19.46352663374273,19.46352607011795,2.895799962425253e-08,8262.0,8262.0,0.0,0,0,0,0,0,0,0,0,32,0.0,0.611515998840332,1.4804472923278809,0.4130616483338449
15,36,True,False,0.7694760411903622,1.000000006231213,1.0,0.769476036395593,0.7694760411903622,24.286329583759652,0.6806433168821968,24.96697290064185,24.966972589492798,1.2462426123056877e-08,10812.0,10812.0,0.0,0,0,0,0,0,0,0,0,36,0.0,0.6180779933929443,1.4804472923278809,0.4174940888446409
16,37,True,False,0.7477956811698375,1.0,1.0,0.7477956811698375,0.7477956811698375,25.35496834796504,0.4730040265421849,25.827972374507226,25.827973037958145,-2.5687301055977533e-08,11543.0,11543.0,0.0,0,0,0,0,0,0,0,0,40,0.0,0.5619134902954102,1.4804472923278809,0.37955656591586434
