test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
0,21,False,True,10.0,1.9319136610695595,3.1703631948880653,0.7,4.287407576729471,5.932018260973286,3.5616425609250384,9.493660821898324,4.224009275436401,1.2475473425463752,11241.227258067533,6955.0,0.6162799795927437,0,3,2,1,7,5,0,15,26,0.5769230769230769,0.014970541000366211,0.2967534065246582,0.050447747763671454
1,22,False,True,10.0,2.0723867822543642,3.707451923514037,0.7,5.378292053493806,3.9985959232861217,7.029228136016334,11.027824059302455,4.203044295310974,1.6237706016102147,14660.947559378776,9639.0,0.5210029628985139,0,2,1,1,13,4,0,19,29,0.6551724137931034,0.03144335746765137,0.2967534065246582,0.10595786527235244
2,23,False,True,10.0,1.4636695308866312,3.2297792559998566,0.7,3.3091306419476783,7.4446322106721965,4.528597149241401,11.973229359913597,7.319643974304199,0.6357666304462254,11724.894531586842,9078.0,0.29157243132703703,0,2,1,1,10,5,0,17,29,0.5862068965517241,0.03938102722167969,0.2967534065246582,0.1327062347249159
3,24,False,True,10.0,1.5609437116238718,3.617250785229937,0.7,3.9524274065998277,4.010295049262443,0.06819734213571492,4.078492391398158,2.706777635961771,0.5067703889717524,13531.450513164256,8378.0,0.6151170342759914,0,2,1,1,10,6,0,18,28,0.6428571428571429,0.025564193725585938,0.2967534065246582,0.08614625195030988
4,25,False,True,10.0,1.4390662138738333,3.4903429574618414,0.7,3.515984237441067,13.200425582832167,3.407950273157797,16.608375855989966,10.280011892318726,0.6155988952113786,9220.282388112513,7303.0,0.26253353253628825,0,2,1,1,12,6,0,20,32,0.625,0.04366779327392578,0.2967534065246582,0.14715178432264192
5,26,False,True,10.0,1.5817708818531555,3.5228110309964626,0.7,3.9005959377709085,8.929070433157527,4.547455342383507,13.476525775541035,8.139575004577637,0.6556792913588162,12213.68602601471,8100.0,0.507862472347495,0,3,3,1,7,6,0,17,27,0.6296296296296297,0.046172380447387695,0.2967534065246582,0.15559174530841008
6,27,False,True,10.0,1.5547192863738402,3.1940519757072052,0.7,3.476097945818722,14.910898015418592,0.4737175234158605,15.384615538834453,9.79465788602829,0.5707149466424986,10270.980204252088,6675.0,0.5387236261051817,0,3,2,1,12,3,0,18,31,0.5806451612903226,0.04163336753845215,0.2967534065246582,0.14029617393791466
7,28,False,True,10.0,1.5355484194427351,4.239496212782251,0.7,4.556966196139872,57.063307882896744,0.13950938265327878,57.202817265550024,33.46553524583578,0.7093053150156308,14162.631848246328,10400.0,0.36179152386983926,0,3,2,1,16,7,0,26,36,0.7222222222222222,0.0533444881439209,0.2967534065246582,0.17976032278331516
8,29,False,True,10.0,1.5834281236524053,3.5705772333219383,0.7,3.957626686240467,23.35167655287847,1.1894783167712346,24.541154869649706,13.91958600282669,0.7630664349260144,12263.50780094116,8736.0,0.4037898123787959,0,5,4,1,12,4,0,21,33,0.6363636363636364,0.049858808517456055,0.2967534065246582,0.16801427522387388
9,30,False,True,10.0,1.9013106761783398,4.4816890703380645,0.7,5.964758293721879,39.77843014288935,3.255827151610147,43.0342572944995,17.86042496562004,1.4094755515245112,13764.280512221825,9880.0,0.39314580083216855,0,4,2,2,14,6,0,24,32,0.75,0.053356170654296875,0.2967534065246582,0.17979969052137346
10,31,False,True,10.0,1.5442042186701115,4.085350014099109,0.7,4.41603030856109,6.853699728981127,8.63552180631884,15.489221535299967,9.032452583312988,0.7148411677151277,12889.555258161892,9384.0,0.37356726962509507,0,3,2,1,10,6,0,19,27,0.7037037037037037,0.06307458877563477,0.2967534065246582,0.2125488280465407
11,32,False,True,10.0,1.5616698859215552,4.703877162184579,0.7,5.14213231788046,14.01403694894429,0.456848693172726,14.470885642117015,8.369615083560348,0.728978632546773,13500.204550667138,9682.0,0.39436113929633737,0,3,2,1,13,8,0,24,31,0.7741935483870968,0.04908561706542969,0.2967534065246582,0.16540877370299373
12,33,False,True,10.0,1.7024195611850363,4.737717859643079,0.7,5.645908491742457,12.494836443937725,12.829835323295704,25.32467176723343,13.02326250076294,0.9445720122549813,14617.273772252063,10010.0,0.46026711011509125,0,5,3,2,11,5,0,21,27,0.7777777777777778,0.07912135124206543,0.2967534065246582,0.26662322825093154
13,34,False,True,10.0,1.6375492322979979,4.030697322785584,0.7,4.62032571458719,21.352465125527576,4.8635355206618245,26.2160006461894,14.403503656387329,0.8201127497588923,13967.862862436194,9600.0,0.4549857148371035,0,4,3,1,12,7,0,23,33,0.696969696969697,0.07121109962463379,0.2967534065246582,0.2399672524693213
14,35,False,True,10.0,1.6249415963286515,5.0784190371800815,0.7,5.77649403597085,29.867738261915974,3.224678206888004,33.092416468803975,19.46352607011795,0.7002272018742919,12803.257795849238,8262.0,0.5496559907830112,0,4,3,1,16,6,0,26,32,0.8125,0.07338190078735352,0.2967534065246582,0.24728242093913747
15,36,False,True,10.0,1.4747387618708054,3.7936678946831774,0.7,3.9162683657678654,37.03860239368293,2.1587957368836164,39.19739813056655,24.966972589492798,0.5699700069788413,14915.235271239062,10812.0,0.37950751676276934,0,3,1,2,14,7,0,24,36,0.6666666666666666,0.07400083541870117,0.2967534065246582,0.2493681076330027
16,37,False,True,10.0,1.516280965315852,3.3201169227365472,0.7,3.523961064797927,42.09189370772399,1.564760122743771,43.65665383046776,25.827973037958145,0.6902857133352142,15493.894376253384,11543.0,0.34227621729648994,0,5,5,1,14,4,0,24,40,0.6,0.07783365249633789,0.2967534065246582,0.262283939409034
17,38,False,True,10.0,1.6852165748162204,4.54266349762584,0.7,5.3587602740081826,17.10869176864794,3.8759446978922147,20.984636466540156,10.85956346988678,0.9323646410585359,22825.023368085018,15872.0,0.43806850857390484,0,4,3,1,15,9,0,28,37,0.7567567567567568,0.05832648277282715,0.2967534065246582,0.19654865450712394
18,39,False,True,10.0,1.6347334453755558,4.1031899422051215,0.7,4.695335281875914,13.289912342902802,2.7932828006357795,16.083195143538582,9.37622082233429,0.7153174448737583,17872.718627589562,11500.0,0.5541494458773533,0,4,3,1,15,5,0,24,34,0.7058823529411765,0.07810640335083008,0.2967534065246582,0.2632030555792119
19,40,False,True,10.0,1.8824862068514967,4.365288192202982,0.7,5.752316367527674,35.72080638967525,4.054276654471014,39.77508304414627,17.97185468673706,1.2131874387733417,19630.079932860095,12650.0,0.5517849749296518,0,6,5,1,18,4,0,28,38,0.7368421052631579,0.08349204063415527,0.2967534065246582,0.2813515828240969
20,41,False,True,10.0,2.1851048788911758,3.5365719941224363,0.752859339480814,5.817931887688766,24.462514146704212,23.02708245685743,47.48959660356164,16.794945240020752,1.8276124705901666,18248.925907483554,11830.0,0.5425972871921855,0,5,4,2,12,6,0,24,38,0.631578947368421,0.11519718170166016,0.2967534065246582,0.388191606798246
