test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
0,21,False,True,10.0,1.608159561882475,3.993289728752191,0.7,4.495292942461938,4.710093625822194,3.2897352437335754,7.999828869555769,4.224009275436401,0.8938947213200119,9197.461719004546,6955.0,0.32242440244493836,0,3,2,1,6,6,3,18,26,0.6923076923076923,0.12814998626708984,0.7893106937408447,0.16235683525297007
1,22,False,True,10.0,2.037223052516067,5.233982255122152,0.7,7.463952514616415,4.598214742534212,6.672555469493106,11.270770212027319,4.203044295310974,1.6815730266276956,13425.903602740389,9639.0,0.39287307840443914,0,2,1,1,13,7,2,24,29,0.8275862068965517,0.0934610366821289,0.7893106937408447,0.11840842576094006
2,23,False,True,10.0,1.4557298882599163,4.55962954142428,0.7,4.646312301990926,6.864319631683553,4.698171317934899,11.562490949618452,7.319643974304199,0.5796520964966162,12090.150119250759,9078.0,0.3318076800232164,0,2,1,1,12,5,3,22,29,0.7586206896551724,0.1494617462158203,0.7893106937408447,0.18935730555918864
3,24,False,True,10.0,1.1712433279668861,4.172733883598096,0.7,3.4211007043819364,2.732528901732203,0.08395133975586642,2.8164802414880694,2.706777635961771,0.04052885766041839,10907.802433934157,8378.0,0.30195779827335373,0,2,1,1,12,4,2,20,28,0.7142857142857143,0.0845332145690918,0.7893106937408447,0.10709751589511174
4,25,False,True,10.0,1.4899862829148387,3.955076722920577,0.7,4.1251070455192025,13.458998831601306,3.6405193326771466,17.099518164278454,10.280011892318726,0.6633753290747938,9615.109620020914,7303.0,0.3165972367548835,0,2,1,1,12,5,3,22,32,0.6875,0.2069380283355713,0.7893106937408447,0.2621756299218663
5,26,False,True,10.0,1.822186510318325,4.737717859643079,0.7,6.043103901475079,8.77336160376149,9.965174112403076,18.738535716164566,8.139575004577637,1.3021516118011263,10871.993411567742,8100.0,0.34222140883552377,0,4,3,1,9,6,2,21,27,0.7777777777777778,0.22273492813110352,0.7893106937408447,0.2821891682164822
6,27,False,True,10.0,1.6090149327552015,3.6339586114147693,0.7,4.092965569546504,14.099720084566584,0.7100789451256042,14.809799029692188,9.79465788602829,0.5120282098691582,11387.561051405308,6675.0,0.7060016556412446,0,3,2,1,10,4,3,20,31,0.6451612903225806,0.1723804473876953,0.7893106937408447,0.2183936550646724
7,28,False,True,10.0,1.2621103061502608,5.008372996274783,0.7269156387769554,4.594920383347841,45.64804464733563,0.11313889589259571,45.76118354322823,33.46553524583578,0.3674122707755715,12030.80675185948,10400.0,0.15680834152495,0,3,2,1,15,7,4,29,36,0.8055555555555556,0.2726013660430908,0.7893106937408447,0.3453663661278031
8,29,False,True,10.0,1.9620841054601823,4.834402657433495,0.753832964138832,7.150486059180988,32.744284646193556,4.047749462070091,36.79203410826365,13.91958600282669,1.6431845099985147,11190.67361125328,8736.0,0.2809837009218498,0,5,4,1,12,6,3,26,33,0.7878787878787878,0.3077266216278076,0.7893106937408447,0.38986754400776413
9,30,False,True,10.0,1.6936764813395013,6.125742661881986,0.7,7.262518394017286,31.965578061097926,2.398566881302104,34.36414494240003,17.86042496562004,0.9240384822056807,14457.54706707642,9880.0,0.4633144804733219,0,4,2,2,15,8,2,29,32,0.90625,0.21775054931640625,0.7893106937408447,0.2758743179880197
10,31,False,True,10.0,1.6372590992933225,6.861498965274728,0.7,7.863836130981435,6.434886026656634,9.737674947486722,16.172560974143355,9.032452583312988,0.7904949763059222,13926.0739178823,9384.0,0.4840232222807226,0,3,2,1,13,8,2,26,27,0.9629629629629629,0.2145402431488037,0.7893106937408447,0.27180709047791507
11,32,False,True,10.0,1.3374342072695056,5.017356622561121,0.7,4.697269063958405,12.04503772247286,0.3840783200524753,12.429116042525337,8.369615083560348,0.48502839359227967,11520.031082806256,9682.0,0.18984002094673164,0,3,2,1,15,5,2,25,31,0.8064516129032258,0.230787992477417,0.7893106937408447,0.29239182277339304
12,33,False,True,10.0,2.001251992045372,5.494258861570452,0.7075933019366816,7.780268909545286,15.288513233033044,18.16274021715167,33.45125345018471,13.02326250076294,1.5685770710853013,14353.608399184486,10010.0,0.43392691300544317,0,5,3,2,11,6,1,23,27,0.8518518518518519,0.24918794631958008,0.7893106937408447,0.3157032437234358
13,34,False,True,10.0,1.6820591348921141,5.457384779898909,0.7283346722730668,6.685852947258512,22.66924484357369,7.114132406943764,29.783377250517454,14.403503656387329,1.0677869746858306,12444.780432944617,9600.0,0.2963312950983976,0,4,3,1,14,8,2,28,33,0.8484848484848485,0.27437925338745117,0.7893106937408447,0.347618821793815
14,35,False,True,10.0,1.5206454027577654,5.405948925141167,0.7987561824705415,6.566200263414755,30.658341087797865,2.3472263593894347,33.0055674471873,19.46352607011795,0.6957650596445748,11116.73371238584,8262.0,0.34552574587095614,0,4,3,1,17,4,2,27,32,0.84375,0.3732175827026367,0.7893106937408447,0.47283989139158383
15,36,False,True,10.0,1.5495352125039328,5.29449005047003,0.7853912784016138,6.4433490784059915,39.4770662175763,2.7866907026241265,42.26375692020043,24.966972589492798,0.6927866111403062,15204.74059553605,10812.0,0.4062838138675592,0,4,2,2,17,6,3,30,36,0.8333333333333334,0.35280513763427734,0.7893106937408447,0.44697878849480566
16,37,False,True,10.0,1.5265617472720256,5.4739473917272,0.7747495804440937,6.474054402845861,41.459272061054655,2.632753195133975,44.09202525618863,25.827973037958145,0.7071422984447394,15536.660946574359,11543.0,0.345981196099312,0,5,5,1,17,7,4,34,40,0.85,0.33712100982666016,0.7893106937408447,0.4271081242152124
17,38,False,True,10.0,1.6643319281078885,5.952336215673507,0.7663814856587777,7.592283269244155,17.21537621539804,3.881797124880635,21.097173340278676,10.85956346988678,0.9427275690022402,21997.58075065326,15872.0,0.38593628721353695,0,4,3,1,18,8,3,33,37,0.8918918918918919,0.3251357078552246,0.7893106937408447,0.4119236068046695
18,39,False,True,10.0,1.615996765551811,4.895102884852893,0.787412461697865,6.228802993659981,14.635014984987981,2.1656214247720422,16.800636409760024,9.37622082233429,0.7918345491331297,16561.828292660663,11500.0,0.4401589819704924,0,4,3,1,13,7,3,27,34,0.7941176470588235,0.35584068298339844,0.7893106937408447,0.4508246065905095
19,40,False,True,10.0,1.4071172483277183,5.986300952398289,0.743912785518374,6.266295284059849,23.237967038433478,4.7646666633217185,28.002633701755197,17.97185468673706,0.558138221672841,15889.617878529836,12650.0,0.25609627498259574,0,5,4,1,18,8,3,34,38,0.8947368421052632,0.2944340705871582,0.7893106937408447,0.37302683584802676
20,41,False,True,10.0,1.6667138150562757,5.111939833612845,0.7712912281581854,6.57150981730095,14.373573677474353,18.838108209691583,33.21168188716594,16.794945240020752,0.9774808082151807,16040.850903045895,11830.0,0.3559468218973707,0,5,4,2,14,8,3,31,38,0.8157894736842105,0.33213090896606445,0.7893106937408447,0.4207860245652688
21,42,False,True,10.0,1.6888497683172177,5.25161992086923,0.7720280580687304,6.847269003435306,21.623662881927448,15.384645581785215,37.008308463712666,18.659390926361084,0.983361011608858,18382.95911393721,13184.0,0.3943385250255772,0,6,4,3,15,8,4,34,41,0.8292682926829268,0.3331897258758545,0.7893106937408447,0.4221274695984938
22,43,False,True,10.0,1.5403958579306973,5.589725791462078,0.7881416306945587,6.786207175016343,39.36028057594343,5.206452534753652,44.56673311069708,24.053417801856995,0.8528233067675063,16948.41998231385,13802.0,0.22796840909388869,0,8,6,2,15,11,3,37,43,0.8604651162790697,0.35694026947021484,0.7893106937408447,0.45221770375178705
23,44,False,True,10.0,1.5457706357331757,4.737717859643079,0.8493783152361234,6.2203585138173745,141.41746345991504,12.726123292061324,154.14358675197636,92.31591415405273,0.6697401327223855,16396.210731995416,11532.0,0.42180113874396596,0,4,3,1,13,10,1,28,36,0.7777777777777778,0.4580559730529785,0.7893106937408447,0.580324043099019
24,45,False,True,10.0,1.5153824342994007,5.457384779898909,0.7954674477491527,6.578535705560967,30.71270280044436,13.182160050171264,43.894862850615624,24.38311243057251,0.8002157425800371,16590.26331698498,13482.0,0.23054912601876426,0,5,4,1,12,9,2,28,33,0.8484848484848485,0.3681199550628662,0.7893106937408447,0.46638156302964195
25,46,False,True,10.0,1.456274757271094,4.263114515168817,0.810944270047655,5.034557784879402,65.37013011849537,6.168533322926622,71.53866344142199,45.52871799468994,0.5712865767440588,17254.006431835132,12864.0,0.34126293779812905,0,4,3,3,14,7,2,29,40,0.725,0.39254069328308105,0.7893106937408447,0.4973208856739047
26,47,False,True,10.0,1.6220505967210967,4.813519741131481,0.8053645374008576,6.288103142705617,44.015671934459455,8.234061736840934,52.24973367130039,26.750430822372437,0.953229614066697,23349.285127743984,18088.0,0.2908715793754967,0,6,6,1,14,9,3,33,42,0.7857142857142857,0.3836097717285156,0.7893106937408447,0.4860060490381075
27,48,False,True,10.0,1.8139795074003353,5.218311661291517,0.8610342183904894,8.150472777093261,60.45491829404473,6.023453328280393,66.47837162232513,29.070360898971558,1.286809298768526,21290.7517420103,15875.0,0.34114971603214483,0,7,6,1,17,11,3,38,46,0.8260869565217391,0.47934627532958984,0.7893106937408447,0.6072973280746835
28,49,False,True,10.0,2.107017012607354,5.78979891326414,0.8819443181499358,10.759019367970863,24.777652841252767,28.48542350267661,53.26307634392938,21.06318187713623,1.528728881259182,26196.383157644712,15544.0,0.685305143955527,0,8,7,1,15,11,2,36,41,0.8780487804878049,0.5192604064941406,0.7893106937408447,0.6578656676158374
29,50,False,True,10.0,1.7264512358378221,5.335692100541511,0.8209535188958953,7.562469658262788,32.20092505408116,8.963022787912086,41.16394784199325,18.953474402427673,1.1718417936460623,25249.705963963057,19710.0,0.2810606780295818,0,5,3,2,18,11,2,36,43,0.8372093023255814,0.40892457962036133,0.7893106937408447,0.5180780937887863
30,51,False,True,10.0,1.7975648463611646,5.335692100541511,0.8878873221671076,8.515951543682894,116.53892005511892,33.024707305560725,149.56362736067965,69.14704132080078,1.162979420432382,26191.16417963856,18288.0,0.43215027228994746,0,4,3,1,18,11,3,36,43,0.8372093023255814,0.5310158729553223,0.7893106937408447,0.6727589999302244
31,52,False,True,10.0,1.7238651645782936,4.172733883598096,0.8531322635132281,6.136777089239053,107.5783899321655,34.57222779696551,142.150617729131,70.35037517547607,1.0206092344861335,24649.235547148077,17272.0,0.4271210946704537,0,6,6,2,15,9,3,35,49,0.7142857142857143,0.46483898162841797,0.7893106937408447,0.5889176281463622
32,53,False,True,10.0,1.619814309592829,4.8281727579644445,0.7750750486098472,6.061663010880567,65.44707831544001,1.361320287514305,66.80839860295431,35.591615088284016,0.8770825217467072,22073.246778511002,16200.0,0.3625460974389507,0,6,5,2,18,10,2,37,47,0.7872340425531915,0.33759331703186035,0.7893106937408447,0.4277065035466284
33,54,False,True,10.0,1.6862937512789808,5.178132367501836,0.8025801051191891,7.008010900393156,62.18530692432472,11.713131075517543,73.89843799984226,36.75330150127411,1.0106612190276418,24405.71900086333,17920.0,0.36192628353031975,0,7,5,2,18,10,2,37,45,0.8222222222222222,0.37920665740966797,0.7893106937408447,0.48042761920842963
34,55,False,True,10.0,1.9818267295546215,5.15516951223468,0.8178752015979007,8.355946915074473,50.46774026609946,17.026813077754213,67.49455334385368,26.56203293800354,1.5410160999870637,23354.0148873497,16416.0,0.4226373591221795,0,9,8,1,16,14,2,41,50,0.82,0.4038357734680176,0.7893106937408447,0.5116309416182944
35,56,False,True,10.0,1.4055523677879065,5.03806095344464,0.9330378805356897,6.607082424393679,29.19438541611182,4.476149472531257,33.670534888643076,21.67288863658905,0.5535785493678546,21692.326712087284,17250.0,0.25752618620795853,0,10,7,3,14,10,4,38,47,0.8085106382978723,0.6264872550964355,0.7893106937408447,0.7937143891048445
36,57,False,True,10.0,1.6751006194882634,5.692391364380963,0.8462195618291254,8.068981336637231,67.49553749967527,31.92238841993759,99.41792591961286,48.86099910736084,1.034709230999652,25609.998411293796,19468.0,0.3154920079768747,0,7,5,2,21,10,2,40,46,0.8695652173913043,0.45240235328674316,0.7893106937408447,0.5731613126165005
37,58,False,True,10.0,1.5350233123277532,4.434264234072215,0.8760679295795123,5.963130675953145,73.05690724975291,23.8729954423913,96.92990269214421,55.188109397888184,0.7563548334897899,22014.847036355073,16758.0,0.31369179116571627,0,6,4,2,17,10,2,35,47,0.7446808510638298,0.5078170299530029,0.7893106937408447,0.6433677308313969
38,59,False,True,10.0,1.5290160871495706,5.1364574837703465,0.8454263979468593,6.639747387174058,119.29553326171464,12.278729974028037,131.57426323574268,76.70390486717224,0.7153528684568166,23845.98447175969,17760.0,0.34267930584232487,0,11,8,3,19,11,4,45,55,0.8181818181818182,0.4509904384613037,0.7893106937408447,0.5713725178660483
39,60,False,True,10.0,1.522648128486646,5.375320401498068,0.8643895857163859,7.074788069252777,148.82934869951694,8.62006974611479,157.44941844563172,94.90005850791931,0.6591077067933813,24374.739466363546,17584.0,0.3861885501799105,0,6,5,1,18,11,2,37,44,0.8409090909090909,0.48560118675231934,0.7893106937408447,0.6152218519311704
40,61,False,True,10.0,1.7993272577996435,5.784037919796147,0.9026090895651919,9.393793159276903,49.021447280293714,46.20121848077562,95.22266576106934,43.51637077331543,1.188203291517605,27345.82833249565,19388.0,0.410451224081682,0,7,5,2,20,13,3,43,49,0.8775510204081632,0.560936450958252,0.7893106937408447,0.710666224854702
41,62,False,True,10.0,1.6236388270331137,5.19168768010465,0.8652191543328873,7.29330057155385,84.87542971132366,14.241264461742176,99.11669417306584,52.13325762748718,0.9012181222453804,28945.66417227549,21504.0,0.3460595318208468,0,5,3,2,21,13,3,42,51,0.8235294117647058,0.48715639114379883,0.7893106937408447,0.6171921842778776
42,63,False,True,10.0,1.8271492236643958,5.335692100541511,0.908354311602124,8.855642177981217,37.438132590003704,20.518825066160094,57.956957656163794,25.330843448638916,1.2879995201769705,24396.63364322292,17856.0,0.36629892715182133,0,7,6,1,21,7,1,36,43,0.8372093023255814,0.5729265213012695,0.7893106937408447,0.7258567834498124
43,64,False,True,10.0,1.7625152291343664,4.871165999245474,0.8707130731305524,7.475510796259287,118.05489447766786,8.116880636242023,126.17177511390989,63.40838634967804,0.9898278820424601,31529.99051053519,20538.0,0.5352025762262728,0,7,5,3,20,8,2,38,48,0.7916666666666666,0.4975440502166748,0.7893106937408447,0.630352602799062
44,65,False,True,10.0,1.6858561163786712,5.227045235256769,1.0,8.812046180445614,192.59068581518352,24.1202570534747,216.7109428686582,108.79293870925903,0.9919578002006356,26689.969743376936,19344.0,0.37975443255670677,0,6,4,2,23,12,2,43,52,0.8269230769230769,0.7893106937408447,0.7893106937408447,1.0
45,66,False,True,10.0,1.5985942474098445,4.953032424395115,0.9339839742246943,7.395181567262616,111.13650772489771,33.00605843673647,144.1425661616342,80.30556869506836,0.7949261614591632,28534.636221553337,20349.0,0.4022623333605257,0,12,9,3,16,13,3,44,55,0.8,0.6286072731018066,0.7893106937408447,0.7964002997635783
