test_id,block_count,is_feasible,infeasible_penalty_applied,final_cost,p1_quality,p2_violation_exp,p3_runtime_adjustment,pre_penalty_cost,hpwl_b2b,hpwl_p2b,hpwl_total,hpwl_baseline,hpwl_gap,bbox_area,bbox_area_baseline,area_gap,overlap_violations,area_violations,fixed_violations,preplaced_violations,boundary_violations,grouping_violations,mib_violations,total_soft_violations,max_possible_violations,violations_relative,runtime_seconds,median_runtime,runtime_factor
0,21,False,True,10.0,1.608159561882475,3.993289728752191,0.7,4.495292942461938,4.710093625822194,3.2897352437335754,7.999828869555769,4.224009275436401,0.8938947213200119,9197.461719004546,6955.0,0.32242440244493836,0,3,2,1,6,6,3,18,26,0.6923076923076923,0.19094467163085938,0.9594967365264893,0.1990050245737213
1,22,False,True,10.0,2.071245982666538,5.233982255122152,0.7,7.588605303488793,4.491163303848514,6.610761851549669,11.101925155398183,4.203044295310974,1.6414009406904848,14469.01638652994,9639.0,0.5010910246425916,0,2,1,1,13,6,3,24,29,0.8275862068965517,0.21020817756652832,0.9594967365264893,0.21908170144226957
2,23,False,True,10.0,1.4557298882599163,4.55962954142428,0.7,4.646312301990926,6.864319631683553,4.698171317934899,11.562490949618452,7.319643974304199,0.5796520964966162,12090.150119250759,9078.0,0.3318076800232164,0,2,1,1,12,5,3,22,29,0.7586206896551724,0.26996588706970215,0.9594967365264893,0.281361964864014
3,24,False,True,10.0,1.1712433279668861,4.172733883598096,0.7,3.4211007043819364,2.732528901732203,0.08395133975586642,2.8164802414880694,2.706777635961771,0.04052885766041839,10907.802433934157,8378.0,0.30195779827335373,0,2,1,1,12,4,2,20,28,0.7142857142857143,0.11702489852905273,0.9594967365264893,0.12196487395329664
4,25,False,True,10.0,1.4899862829148387,3.955076722920577,0.7,4.1251070455192025,13.458998831601306,3.6405193326771466,17.099518164278454,10.280011892318726,0.6633753290747938,9615.109620020914,7303.0,0.3165972367548835,0,2,1,1,12,5,3,22,32,0.6875,0.2689244747161865,0.9594967365264893,0.2802765913407171
5,26,False,True,10.0,1.822186510318325,4.737717859643079,0.7,6.043103901475079,8.77336160376149,9.965174112403076,18.738535716164566,8.139575004577637,1.3021516118011263,10871.993411567742,8100.0,0.34222140883552377,0,4,3,1,9,6,2,21,27,0.7777777777777778,0.26456737518310547,0.9594967365264893,0.27573556543910294
6,27,False,True,10.0,1.6090149327552015,3.6339586114147693,0.7,4.092965569546504,14.099720084566584,0.7100789451256042,14.809799029692188,9.79465788602829,0.5120282098691582,11387.561051405308,6675.0,0.7060016556412446,0,3,2,1,10,4,3,20,31,0.6451612903225806,0.19651484489440918,0.9594967365264893,0.20481033172225271
7,28,False,True,10.0,1.2621103061502608,5.008372996274783,0.7070249065412119,4.469188694394901,45.64804464733563,0.11313889589259571,45.76118354322823,33.46553524583578,0.3674122707755715,12030.80675185948,10400.0,0.15680834152495,0,3,2,1,15,7,4,29,36,0.8055555555555556,0.3021059036254883,0.9594967365264893,0.3148587088676856
8,29,False,True,10.0,2.041623423134676,4.5501104852997925,0.7279631181450228,6.762495023169094,32.69118361152039,4.08562317149365,36.77680678301404,13.91958600282669,1.6420905604193734,12589.941313185414,8736.0,0.44115628584997874,0,5,4,1,12,6,2,25,33,0.7575757575757576,0.33297228813171387,0.9594967365264893,0.34702805695527383
9,30,False,True,10.0,1.6936764813395013,6.125742661881986,0.7,7.262518394017286,31.965578061097926,2.398566881302104,34.36414494240003,17.86042496562004,0.9240384822056807,14457.54706707642,9880.0,0.4633144804733219,0,4,2,2,15,8,2,29,32,0.90625,0.2588808536529541,0.9594967365264893,0.2698089986112288
10,31,False,True,10.0,1.6372590992933225,6.861498965274728,0.7,7.863836130981435,6.434886026656634,9.737674947486722,16.172560974143355,9.032452583312988,0.7904949763059222,13926.0739178823,9384.0,0.4840232222807226,0,3,2,1,13,8,2,26,27,0.9629629629629629,0.29052186012268066,0.9594967365264893,0.30278566780165395
